image_name,steering_angle_rad,steering label
img_20250619_182944_429318.png,0,going straight
img_20250619_182944_959860.png,0,going straight
img_20250619_182945_501751.png,0,going straight
img_20250619_182946_012074.png,0,going straight
img_20250619_182946_545820.png,0,going straight
img_20250619_182947_107962.png,0,going straight
img_20250619_182947_643136.png,0,going straight
img_20250619_182948_172109.png,0,going straight
img_20250619_182948_687135.png,0,going straight
img_20250619_182949_224673.png,0,going straight
img_20250619_182949_787379.png,0,going straight
img_20250619_182950_285096.png,0,going straight
img_20250619_182950_809175.png,0,going straight
img_20250619_182951_341152.png,0,going straight
img_20250619_182951_859373.png,0,going straight
img_20250619_182952_377979.png,0,going straight
img_20250619_182952_937238.png,0,going straight
img_20250619_182953_468037.png,0,going straight
img_20250619_182953_968217.png,0,going straight
img_20250619_182954_499772.png,0,going straight
img_20250619_182955_042703.png,0,going straight
img_20250619_182955_585111.png,0,going straight
img_20250619_182956_069118.png,0,going straight
img_20250619_182956_598654.png,0,going straight
img_20250619_182957_136017.png,0,going straight
img_20250619_182957_652602.png,0,going straight
img_20250619_182958_179223.png,0,going straight
img_20250619_182958_724020.png,0,going straight
img_20250619_182959_235923.png,0,going straight
img_20250619_182959_760219.png,0,going straight
img_20250619_183000_287222.png,0,going straight
img_20250619_183000_816031.png,0,going straight
img_20250619_183001_337851.png,0,going straight
img_20250619_183001_862237.png,0,going straight
img_20250619_183002_394873.png,0,going straight
img_20250619_183002_905109.png,0,going straight
img_20250619_183003_431169.png,0,going straight
img_20250619_183003_954040.png,0,going straight
img_20250619_183004_471451.png,0,going straight
img_20250619_183004_998465.png,0,going straight
img_20250619_183005_534830.png,0,going straight
img_20250619_183006_050494.png,0,going straight
img_20250619_183006_585013.png,0,going straight
img_20250619_183007_115937.png,0,going straight
img_20250619_183007_643142.png,0,going straight
img_20250619_183008_169112.png,0,going straight
img_20250619_183008_694082.png,0,going straight
img_20250619_183009_240403.png,0,going straight
img_20250619_183009_761136.png,0,going straight
img_20250619_183010_284040.png,0,going straight
img_20250619_183010_812581.png,0,going straight
img_20250619_183011_340727.png,0,going straight
img_20250619_183011_870992.png,0,going straight
img_20250619_183012_407840.png,0,going straight
img_20250619_183012_909635.png,0,going straight
img_20250619_183013_429053.png,0,going straight
img_20250619_183013_957149.png,0,going straight
img_20250619_183014_482453.png,0,going straight
img_20250619_183015_009757.png,0,going straight
img_20250619_183015_533818.png,0,going straight
img_20250619_183016_067035.png,0,going straight
img_20250619_183016_573930.png,0,going straight
img_20250619_183017_107941.png,0,going straight
img_20250619_183017_639731.png,0,going straight
img_20250619_183018_163012.png,0,going straight
img_20250619_183018_661895.png,0,going straight
img_20250619_183019_201187.png,0,going straight
img_20250619_183019_715311.png,0,going straight
img_20250619_183020_239185.png,0,going straight
img_20250619_183020_776335.png,0,going straight
img_20250619_183021_289886.png,0,going straight
img_20250619_183021_814779.png,0,going straight
img_20250619_183022_355337.png,0,going straight
img_20250619_183022_890636.png,0,going straight
img_20250619_183023_388135.png,0,going straight
img_20250619_183023_917971.png,0,going straight
img_20250619_183024_448843.png,0,going straight
img_20250619_183024_969450.png,0,going straight
img_20250619_183025_496177.png,0,going straight
img_20250619_183026_026103.png,0,going straight
img_20250619_183026_552584.png,0,going straight
img_20250619_183027_075511.png,0,going straight
img_20250619_183027_604194.png,0,going straight
img_20250619_183028_125535.png,0,going straight
img_20250619_183028_655724.png,0,going straight
img_20250619_183029_182119.png,0,going straight
img_20250619_183029_719427.png,0,going straight
img_20250619_183030_240372.png,0,going straight
img_20250619_183030_761439.png,0,going straight
img_20250619_183031_293941.png,0,going straight
img_20250619_183031_806089.png,0,going straight
img_20250619_183032_339676.png,0,going straight
img_20250619_183032_869381.png,0,going straight
img_20250619_183033_398452.png,0,going straight
img_20250619_183033_918394.png,0,going straight
img_20250619_183034_455146.png,0,going straight
img_20250619_183034_974219.png,0,going straight
img_20250619_183035_496237.png,0,going straight
img_20250619_183036_026987.png,0,going straight
img_20250619_183036_555991.png,0,going straight
img_20250619_183037_077238.png,0,going straight
img_20250619_183037_604073.png,0,going straight
img_20250619_183038_134950.png,0,going straight
img_20250619_183038_655376.png,0,going straight
img_20250619_183039_171690.png,0,going straight
img_20250619_183039_705617.png,0,going straight
img_20250619_183040_232059.png,0,going straight
img_20250619_183040_755255.png,0,going straight
img_20250619_183041_274253.png,0,going straight
img_20250619_183041_805159.png,0,going straight
img_20250619_183042_325120.png,0,going straight
img_20250619_183042_852278.png,0,going straight
img_20250619_183043_387386.png,0,going straight
img_20250619_183043_909405.png,0,going straight
